time throughput_mbps
0 0.0
1 0.0
2 0.000592
3 0.001184
4 0.000592
5 0.000592
6 0.000928
7 0.000928
8 0.0
9 0.0
10 0.0
11 7.704088
12 9.166144
13 10.126
14 14.276352
15 12.84136
16 12.036736
17 12.352416
18 19.617664
19 32.903328
20 0.0
21 0.0
22 0.0
23 0.0
24 0.0
25 0.0
26 0.0
27 0.0
28 0.0
29 0.0
30 0.0
31 0.006112
32 17.97804
33 18.14984
34 16.27528
35 17.367472
36 18.825344
37 19.756144
38 22.40544
39 0.0
40 0.0
41 0.0
42 0.0
43 0.0
44 0.0
45 0.0
46 0.0
47 0.0
48 0.0
49 0.0
50 0.0
51 0.0
52 0.0
53 0.0
54 0.0
55 0.0
56 0.0
57 0.000592
58 15.280024
59 16.04584
60 16.814064
61 13.857232
62 14.635728
63 13.78216
64 13.256464
65 10.928032
66 10.8172
67 5.46048
68 0.0
69 0.0
70 0.0
71 0.0
72 0.0
73 0.0
74 0.0
75 0.0
76 0.0
77 0.0
78 0.0
79 0.0
80 0.0
81 0.0
82 0.000592
83 7.59252
84 14.869312
85 16.411968
86 16.274832
87 14.619712
88 15.273648
89 16.315392
90 17.666048
91 11.864904
92 0.0
93 0.0
94 0.0
95 0.0
96 0.0
97 0.0
98 0.0
99 0.0
100 0.0
101 0.0
102 0.0
103 0.0
104 0.0
105 0.0
