time throughput_mbps
0 0.0
1 0.00048
2 0.00048
3 0.010328
4 59.396968
5 44.56412
6 0.771576
7 49.380528
8 39.219632
9 36.6208
10 36.201152
11 30.677808
12 30.291536
13 32.65896
14 38.610624
15 39.460336
16 36.973424
17 34.560576
18 14.335456
19 0.00048
20 0.0
21 51.241888
22 92.408136
23 82.041488
24 71.239232
25 64.133296
26 52.765072
27 53.592288
28 50.201064
29 6.41432
30 0.00048
31 0.0
32 0.0
33 0.0
34 0.00048
35 0.0
36 0.0
37 0.00048
38 0.0
39 0.0
40 0.0
41 0.00048
42 44.129648
43 73.74752
44 59.127408
45 56.562928
46 58.843296
47 59.235648
48 60.075456
49 62.974016
50 46.84072
51 1.945536
52 0.0
53 0.00048
54 0.0
55 0.0
56 0.00048
57 0.0
58 0.0
59 0.0
60 0.00048
61 0.0
62 19.419528
63 47.891136
64 55.689872
65 44.851944
66 39.741728
67 53.018832
68 55.812624
69 55.74288
70 63.232528
71 63.995208
72 24.177392
73 0.0
74 0.00048
75 0.0
76 0.0
77 0.00048
78 0.0
79 0.0
80 0.00048
81 0.00048
82 0.0
83 0.0
84 0.0
85 0.00048
86 0.0
87 0.0
88 0.0
89 0.00048
90 0.0
91 0.0
92 0.0
93 0.00048
94 0.0
95 0.00048
96 0.0
97 0.0
98 0.00048
99 0.0
100 0.0
101 0.00048
102 0.0
103 0.00048
104 0.0
105 0.0
106 0.00048
