time throughput_mbps
0 0.0
1 0.0
2 0.000592
3 0.001184
4 0.000592
5 0.000592
6 0.000928
7 0.000592
8 0.0
9 0.0
10 0.0
11 7.095928
12 8.519616
13 9.475488
14 11.628048
15 11.660448
16 10.24448
17 9.993456
18 13.795616
19 25.404112
20 22.965128
21 0.0
22 0.0
23 0.0
24 0.0
25 0.0
26 0.0
27 0.0
28 0.0
29 0.0
30 2.014696
31 17.82456
32 17.97096
33 16.594176
34 17.114992
35 19.619088
36 19.328352
37 20.303728
38 0.0
39 0.0
40 0.0
41 0.0
42 0.0
43 0.0
44 0.0
45 0.0
46 0.0
47 0.0
48 0.0
49 0.0
50 0.0
51 0.0
52 0.0
53 0.0
54 0.0
55 0.000592
56 9.85604
57 16.040112
58 17.581552
59 17.598128
60 14.474896
61 11.980848
62 12.168864
63 13.128272
64 11.719216
65 6.29392
66 0.0
67 0.0
68 0.0
69 0.0
70 0.0
71 0.0
72 0.0
73 0.0
74 0.0
75 0.0
76 0.0
77 0.0
78 0.0
79 0.0
80 0.0
81 0.000592
82 11.24628
83 15.661104
84 18.13232
85 16.57056
86 15.78816
87 16.2576
88 16.658432
89 16.554912
90 3.95664
91 0.0
92 0.0
93 0.0
94 0.0
95 0.0
96 0.0
97 0.0
98 0.0
99 0.0
100 0.0
101 0.0
102 0.0
103 0.0
104 0.0
105 0.0
