time throughput_mbps
0 0.0
1 0.0
2 0.000592
3 0.000592
4 0.000592
5 0.000592
6 0.000928
7 0.000592
8 3.45008
9 11.090904
10 8.882368
11 6.789712
12 5.762672
13 5.518928
14 4.701328
15 4.23408
16 4.6152
17 6.405504
18 6.034176
19 6.610064
20 5.366144
21 5.47568
22 2.44484
23 0.0
24 0.000592
25 9.730248
26 12.746544
27 14.31464
28 12.694112
29 12.957568
30 12.584608
31 11.59168
32 0.6006
33 0.0
34 0.0
35 0.0
36 0.0
37 0.0
38 0.0
39 0.0
40 0.0
41 0.0
42 0.0
43 0.0
44 0.0
45 0.000592
46 1.870128
47 10.806752
48 10.679088
49 10.101696
50 10.2976
51 9.960496
52 9.126112
53 8.088704
54 10.15144
55 6.157112
56 0.0
57 0.0
58 0.0
59 0.0
60 0.0
61 0.0
62 0.0
63 0.0
64 0.0
65 0.0
66 0.0
67 0.000592
68 4.477784
69 5.6344
70 6.408304
71 7.50656
72 8.020992
73 10.778096
74 11.171536
75 10.280896
76 11.362032
77 11.677528
78 0.000528
79 0.0
80 0.0
81 0.0
82 0.0
83 0.0
84 0.0
85 0.0
86 0.0
87 0.0
88 0.0
89 0.0
90 0.0
91 0.0
92 0.0
93 0.0
94 0.0
95 0.0
96 0.0
97 0.0
98 0.0
99 0.0
100 0.0
101 0.0
102 0.0
103 0.0
104 0.0
105 0.0
106 0.0
107 0.0
108 0.0
109 0.0
110 0.0
111 0.0
112 0.0
113 0.0
114 0.0
115 0.0
116 0.0
117 0.0
118 0.0
119 0.0
