time throughput_mbps
0 0.0
1 0.0
2 0.00048
3 0.00048
4 0.00192
5 0.00048
6 41.451608
7 78.412632
8 55.166256
9 43.794856
10 43.978144
11 44.393832
12 36.637024
13 33.801392
14 31.177912
15 20.720096
16 20.897344
17 19.19744
18 19.395904
19 28.440024
20 6.2346
21 0.0
22 0.0
23 0.00048
24 0.0
25 0.0
26 0.00048
27 0.0
28 0.0
29 0.0
30 53.008816
31 68.777088
32 58.678912
33 58.631936
34 57.472256
35 56.469584
36 63.950064
37 69.557648
38 37.16944
39 0.0
40 0.0
41 0.00048
42 0.0
43 0.00048
44 0.0
45 0.0
46 0.0
47 0.00048
48 0.0
49 0.0
50 0.0
51 0.00048
52 0.0
53 0.0
54 0.00048
55 0.0
56 66.499976
57 85.580072
58 69.149856
59 68.627216
60 70.424176
61 56.361568
62 57.742064
63 43.1496
64 6.004144
65 0.0
66 0.0
67 0.00048
68 0.0
69 0.0
70 0.0
71 0.00048
72 0.0
73 0.0
74 0.00048
75 0.0
76 0.00048
77 0.0
78 0.0
79 0.00048
80 0.0
81 6.156232
82 70.4228
83 61.727496
84 67.9876
85 66.693184
86 66.672544
87 65.23952
88 64.57616
89 53.865992
90 0.006048
91 0.0
92 0.00048
93 0.0
94 0.0
95 0.00048
96 0.0
97 0.0
98 0.00048
99 0.0
100 0.00048
101 0.0
102 0.0
103 0.00048
104 0.0
105 0.00048
