time throughput_mbps
0 0.0
1 0.0
2 0.0
3 0.000592
4 0.000592
5 0.001184
6 0.000592
7 0.000928
8 0.0
9 0.000592
10 0.0
11 0.0
12 7.21668
13 8.791648
14 7.735344
15 7.493104
16 9.399968
17 8.981216
18 9.016656
19 7.62784
20 6.735856
21 6.27024
22 7.324592
23 12.753168
24 14.399056
25 16.559216
26 0.563744
27 0.0
28 0.0
29 0.0
30 0.0
31 0.0
32 0.000592
33 12.087288
34 14.016752
35 15.633552
36 16.001008
37 17.165344
38 15.911728
39 14.535008
40 12.595104
41 13.003536
42 0.0
43 0.0
44 0.0
45 0.0
46 0.0
47 0.0
48 0.0
49 0.0
50 0.0
51 0.0
52 0.0
53 0.0
54 0.0
55 0.0
56 0.0
57 0.0
58 0.0
59 0.0
60 0.0
61 0.000592
62 9.551128
63 16.043568
64 17.333696
65 16.593648
66 13.218384
67 10.921328
68 8.992352
69 7.8324
70 6.78
71 6.403552
72 8.863344
73 8.247152
74 0.0
75 0.0
76 0.0
77 0.0
78 0.0
79 0.0
80 0.0
81 0.0
82 0.0
83 0.0
84 0.0
85 0.0
86 0.0
87 0.0
88 0.0
89 0.0
90 0.000592
91 11.633784
92 12.91672
93 11.642192
94 11.495392
95 12.83368
96 14.25912
97 15.443536
98 16.254512
99 18.379312
100 5.925552
101 0.0
102 0.0
103 0.0
104 0.0
105 0.0
106 0.0
107 0.0
108 0.0
109 0.0
110 0.0
111 0.0
112 0.0
113 0.0
114 0.0
115 0.0
116 0.0
117 0.0
118 0.0
119 0.0
120 0.0
