time throughput_mbps
0 0.0
1 0.0
2 0.0
3 0.000592
4 0.000592
5 0.001184
6 0.000592
7 0.000928
8 0.0
9 0.000592
10 0.0
11 0.0
12 6.08356
13 8.675488
14 7.088448
15 6.100304
16 5.70272
17 7.207696
18 8.830176
19 9.690128
20 8.378144
21 8.791728
22 9.291936
23 13.172864
24 13.530608
25 13.967664
26 4.464864
27 0.0
28 0.0
29 0.0
30 0.0
31 0.0
32 0.000592
33 9.516904
34 14.206528
35 14.915648
36 15.025024
37 15.921392
38 16.25512
39 14.353984
40 14.770384
41 15.852008
42 0.0
43 0.0
44 0.0
45 0.0
46 0.0
47 0.0
48 0.0
49 0.0
50 0.0
51 0.0
52 0.0
53 0.0
54 0.0
55 0.0
56 0.0
57 0.0
58 0.0
59 0.0
60 0.0
61 0.000592
62 9.021656
63 15.992192
64 17.159296
65 16.259552
66 13.055888
67 10.656368
68 10.197696
69 8.554608
70 9.890304
71 11.53168
72 8.62488
73 0.0
74 0.0
75 0.0
76 0.0
77 0.0
78 0.0
79 0.0
80 0.0
81 0.0
82 0.0
83 0.0
84 0.0
85 0.0
86 0.0
87 0.0
88 0.0
89 0.000592
90 6.196264
91 11.56176
92 10.801264
93 11.8216
94 14.945232
95 15.09152
96 14.1784
97 13.215168
98 11.411904
99 14.88744
100 6.801408
101 0.0
102 0.0
103 0.0
104 0.0
105 0.0
106 0.0
107 0.0
108 0.0
109 0.0
110 0.0
111 0.0
112 0.0
113 0.0
114 0.0
115 0.0
116 0.0
117 0.0
118 0.0
119 0.0
