time throughput_mbps
0 0.0
1 0.0
2 0.000592
3 0.001184
4 0.000592
5 0.000592
6 0.000928
7 3.132824
8 10.29256
9 8.818064
10 7.304064
11 5.73504
12 5.574368
13 5.210112
14 8.260912
15 8.842416
16 8.71304
17 8.587248
18 6.786224
19 0.0
20 0.0
21 0.0
22 0.000592
23 6.64892
24 12.469024
25 11.43584
26 12.23264
27 11.590944
28 11.565456
29 12.503408
30 8.834824
31 0.006032
32 0.0
33 0.0
34 0.0
35 0.0
36 0.0
37 0.0
38 0.0
39 0.0
40 0.0
41 0.0
42 0.000592
43 3.367936
44 11.053304
45 10.6312
46 10.242448
47 10.67344
48 10.213056
49 11.985104
50 13.475216
51 5.61496
52 0.0
53 0.0
54 0.0
55 0.0
56 0.0
57 0.0
58 0.0
59 0.0
60 0.0
61 0.0
62 0.0
63 0.0
64 0.383992
65 7.955472
66 8.197184
67 10.235168
68 10.647552
69 10.601824
70 10.982864
71 12.124032
72 15.7452
73 0.369936
74 0.0
75 0.0
76 0.0
77 0.0
78 0.0
79 0.0
80 0.0
81 0.0
82 0.0
83 0.0
84 0.0
85 0.0
86 0.0
87 0.0
88 0.0
89 0.0
90 0.0
91 0.0
92 0.0
93 0.0
94 0.0
95 0.0
96 0.0
97 0.0
98 0.0
99 0.0
100 0.0
101 0.0
102 0.0
103 0.0
104 0.0
105 0.0
