time throughput_mbps
0 0.0
1 0.002368
2 0.00152
3 0.0
4 10.155696
5 14.595536
6 11.26416
7 6.69952
8 5.851152
9 5.58416
10 4.808464
11 4.50672
12 1.985344
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
24 0.0
25 0.0
26 0.0
27 0.0
28 0.000592
29 8.528224
30 9.764304
31 10.155024
32 8.645776
33 8.255712
34 8.507504
35 8.906832
36 2.782672
37 0.0
38 0.0
39 0.0
40 0.0
41 0.0
42 0.0
43 0.0
44 0.0
45 0.0
46 0.0
47 0.0
48 0.0
49 0.0
50 0.0
51 0.0
52 0.0
53 0.000592
54 8.21896
55 10.165872
56 8.211696
57 8.212464
58 7.765376
59 6.843808
60 6.706928
61 5.62208
62 3.652272
63 0.0
64 0.0
65 0.0
66 0.0
67 0.0
68 0.0
69 0.0
70 0.0
71 0.0
72 0.0
73 0.0
74 0.0
75 0.0
76 0.0
77 0.0
78 0.0
79 0.000592
80 8.67056
81 8.447392
82 8.019568
83 8.827088
84 7.270736
85 7.644256
86 8.10712
87 7.198352
88 1.241992
89 0.0
90 0.0
91 0.0
92 0.0
93 0.0
94 0.0
95 0.0
96 0.0
97 0.0
98 0.0
99 0.0
100 0.0
101 0.0
102 0.0
103 0.0
104 0.0
