time throughput_mbps
0 0.0
1 0.0
2 0.000592
3 0.000592
4 0.000592
5 0.001184
6 0.000928
7 0.0
8 6.900632
9 9.201344
10 8.858304
11 6.961152
12 5.537136
13 5.930656
14 5.158368
15 6.028
16 5.651712
17 5.671264
18 5.305584
19 4.937472
20 4.597968
21 4.422992
22 2.080592
23 0.0
24 0.000592
25 7.205624
26 12.555424
27 12.584896
28 12.307904
29 10.109232
30 9.877376
31 11.512704
32 11.033512
33 0.079232
34 0.0
35 0.0
36 0.0
37 0.0
38 0.0
39 0.0
40 0.0
41 0.0
42 0.0
43 0.0
44 0.0
45 0.0
46 0.000592
47 5.434632
48 8.724912
49 10.13608
50 11.366016
51 10.669904
52 11.660608
53 10.586784
54 12.097696
55 6.535464
56 0.0
57 0.0
58 0.0
59 0.0
60 0.0
61 0.0
62 0.0
63 0.0
64 0.0
65 0.0
66 0.0
67 0.000592
68 4.44844
69 5.535184
70 6.119408
71 7.656816
72 9.095504
73 10.467088
74 10.412096
75 9.668832
76 7.454128
77 8.2512
78 8.191136
79 0.0
80 0.0
81 0.0
82 0.0
83 0.0
84 0.0
85 0.0
86 0.0
87 0.0
88 0.0
89 0.0
90 0.0
91 0.0
92 0.0
93 0.0
94 0.0
95 0.0
96 0.0
97 0.0
98 0.0
99 0.0
100 0.0
101 0.0
102 0.0
103 0.0
104 0.0
105 0.0
106 0.0
107 0.0
108 0.0
109 0.0
110 0.0
111 0.0
112 0.0
113 0.0
114 0.0
115 0.0
116 0.0
117 0.0
118 0.0
