time throughput_mbps
0 0.0
1 0.0
2 0.001184
3 0.000592
4 0.000592
5 0.00152
6 0.0
7 6.076568
8 10.0956
9 11.030496
10 7.4412
11 6.707408
12 6.458464
13 7.798016
14 7.507488
15 8.161744
16 7.102144
17 6.453584
18 2.416864
19 0.0
20 0.0
21 0.0
22 0.000592
23 8.04452
24 13.411152
25 12.098544
26 13.21712
27 11.659136
28 15.074528
29 13.74648
30 0.001056
31 0.0
32 0.0
33 0.0
34 0.0
35 0.0
36 0.0
37 0.0
38 0.0
39 0.0
40 0.0
41 0.000592
42 6.89004
43 9.604208
44 9.830592
45 10.315728
46 9.832464
47 9.633392
48 10.485216
49 12.11928
50 8.547456
51 0.0
52 0.0
53 0.0
54 0.0
55 0.0
56 0.0
57 0.0
58 0.0
59 0.0
60 0.0
61 0.0
62 0.000592
63 2.551976
64 7.954864
65 8.159872
66 11.519856
67 12.28368
68 12.847344
69 11.736528
70 13.043728
71 7.14108
72 0.0
73 0.0
74 0.0
75 0.0
76 0.0
77 0.0
78 0.0
79 0.0
80 0.0
81 0.0
82 0.0
83 0.0
84 0.0
85 0.0
86 0.0
87 0.0
88 0.0
89 0.0
90 0.0
91 0.0
92 0.0
93 0.0
94 0.0
95 0.0
96 0.0
97 0.0
98 0.0
99 0.0
100 0.0
101 0.0
102 0.0
103 0.0
104 0.0
