time throughput_mbps
1 0.00016966790920848668
2 0.0
3 0.0
4 0.0002083982564449807
5 81.9261052039346
6 172.4320990008673
7 74.93861401461002
8 0.0
9 42.12504389106733
10 36.6696716299539
11 0.0
12 0.0
13 0.00021812186955480825
14 109.35323409310892
15 0.0
16 0.00022506250743333718
17 0.0
18 0.0
19 63.684130177194156
20 55.828915763390356
21 119.61186573564788
22 0.0002339242964494045
23 0.0
24 0.0
25 33.688213872613986
26 93.31777495307217
27 149.02202729077024
28 0.00018341079311040844
29 0.0
30 0.0
31 0.0002083807373814944
32 0.0
33 0.0
34 0.00024869454408527546
35 0.0
36 90.78053979193243
37 63.068584702040944
38 132.35853477263828
39 19.08784305531443
40 0.00023133388005588745
41 0.0
42 0.0
43 0.0
44 0.00022296897193365575
45 0.0
46 0.0
47 0.00025528733628084414
48 0.0
49 26.674372254006144
50 103.98805512437835
51 91.90244075655048
52 46.335446352303286
53 0.00017609426771778922
54 14.737667972508639
55 79.17640549795576
56 110.18766250425016
57 0.0
58 0.00019791386190859544
59 0.0
60 0.0
61 0.00025727436686662306
62 0.0
63 0.0
64 0.00022144667518930462
65 0.0
66 0.0
67 0.0
68 0.0002322706643020864
69 0.0
70 0.0
71 0.00016636141519911154
72 1.688886307121443
73 24.784317218613843
74 87.02572591138919
75 4.842023381999181
76 0.0
77 0.0
78 0.0
79 0.0
80 0.0
81 0.0
82 0.0
83 0.0
84 0.0
85 0.0
86 0.0
87 0.0
88 0.0
89 0.0
90 0.0
91 0.0
92 0.0
