time throughput_mbps
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.00044974487599099434
10 0.0005141314610849004
11 0.0007069684027030803
12 0.00035650713207241593
13 0.0
14 0.0002661367822614062
15 0.0
16 0.0
17 0.0
18 29.77775731001163
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
24 0.0
25 0.0
26 0.0
27 0.00021800965728881573
28 39.60373478461765
29 0.0
30 0.0
31 0.0
32 0.0
33 0.0
34 0.0
35 0.0
36 0.0
37 0.0
38 0.0
39 0.0
40 0.0
41 0.0
42 0.0
43 0.0
44 0.0
45 0.0
46 0.0005512381446283413
47 0.0003623639006144648
48 -369.25413498663175
